accession,hsHSR_17,hsHSR_19,hsHSR_22,hsHSR_23,hsHSR_28,hsHSR_32,hsHSR_34,hsHSR_38,hsHSR_46,hsHSR_55,hsHSR_58,hsHSR_61,hsHSR_63,hsHSR_75,hsHSR_78,hsHSR_94,hsHSR_96,hsHSR_110,hsHSR_115,hsHSR_119,hsHSR_123,hsHSR_127,hsHSR_138,hsHSR_145,hsHSR_146,hsHSR_156,hsHSR_158,hsLM_23,hsLM_26,hsHSR_173,hsHSR_175,hsHSR_180,hsHSR_210,hsHSR_211,hsHSR_219,hsHSR_224,hsHSR_232,hsHSR_238,hsHSR_242,hsHSR_243,hsHSR_251,hsHSR_252,hsHSR_257,hsHSR_264,hsHSR_266,hsHSR_278,hsHSR_282,hsHSR_287,hsHSR_290,hsHSR_291,hsHSR_300,hsHSR_303,hsHSR_304,hsHSR_305,hsHSR_308,hsHSR_313,hsHSR_315,hsHSR_327,hsHSR_334,hsHSR_337,hsHSR_338,hsHSR_344,hsHSR_345,hsHSR_353,hsHSR_356,hsHSR_358,hsHSR_364,hsHSR_366,hsHSR_367,hsHSR_368,hsLM_30,hsHSR_372,hsHSR_377,hsHSR_384,hsHSR_385,hsHSR_393,hsHSR_396,hsHSR_399,hsHSR_409,hsHSR_412,hsHSR_419,hsHSR_427,hsHSR_428,hsHSR_441,hsHSR_442,hsHSR_470,hsHSR_471,hsHSR_473,hsHSR_483,hsHSR_487,hsHSR_490,hsHSR_496,hsHSR_533,hsHSR_535,hsHSR_542,mmHSR_8,mmHSR_9,mmHSR_10,mmHSR_12,mmHSR_13,mmHSR_15,mmHSR_18,mmHSR_19,mmHSR_23,mmHSR_26,mmHSR_28,mmHSR_41,mmLM_1,mmHSR_49,mmHSR_50,mmHSR_51,mmHSR_52,mmHSR_54,mmHSR_55,mmHSR_60,mmLM_5,mmHSR_68,mmLM_12,mmHSR_86,mmHSR_87,mmHSR_98,mmHSR_111,mmHSR_119,mmHSR_125,mmHSR_143,mmHSR_145,mmLM_39,mmHSR_161,mmHSR_171,mmHSR_172,mmHSR_190,mmLM_55,mmLM_56,mmHSR_204,mmHSR_205,mmHSR_217,mmLM_69,mmHSR_225,mmHSR_227,mmLM_74,mmHSR_236,mmHSR_243,mmHSR_245,mmHSR_246,mmHSR_248,mmHSR_267,mmHSR_281,mmLM_109,mmHSR_286,mmHSR_288,mmHSR_294,mmLM_124,mmHSR_297,mmHSR_302,mmHSR_303,mmLM_138,mmLM_147,mmLM_148,mmLM_152,mmHSR_312,mmHSR_315,mmHSR_318,mmLM_164,mmHSR_319,mmHSR_320,mmHSR_323,mmHSR_324,mmLM_171,mmLM_179,mmHSR_328,mmHSR_352,mmHSR_361,mmLM_184,mmHSR_371,mmHSR_373,mmLM_188,mmLM_189,mmHSR_377,mmHSR_378,mmHSR_380,mmLM_191,mmHSR_386,mmHSR_387,mmHSR_391,mmHSR_393,mmHSR_413,mmHSR_419,mmHSR_420,mmHSR_441,mmLM_198,mmHSR_468,mmHSR_478,mmHSR_485,mmHSR_494,mmHSR_495,mmLM_206,mmHSR_509,mmHSR_518,mmLM_210,mmLM_214,mmHSR_531,mmHSR_532,mmHSR_536,mmHSR_538,mmHSR_542,mmHSR_545,mmHSR_549,mmHSR_556,mmHSR_558,mmHSR_559,mmLM_220,mmHSR_562,mmHSR_564,mmHSR_565,mmLM_222,mmHSR_568,mmHSR_579,mmHSR_580,mmLM_225,mmHSR_583,mmHSR_584,mmHSR_595,mmHSR_596,mmHSR_598,mmLM_231,mmHSR_615,mmHSR_627,mmHSR_635,mmHSR_638,mmHSR_647,mmHSR_651,mmHSR_653,mmHSR_655,mmHSR_665,mmHSR_671,mmHSR_680,mmHSR_692,mmLM_247,mmHSR_706,mmLM_258,mmHSR_725,mmHSR_730,mmHSR_731,mmHSR_738,mmHSR_740,mmHSR_749,mmHSR_750,mmLM_267,mmHSR_754,mmLM_268,mmHSR_755,mmLM_270,mmLM_271,mmHSR_786,mmHSR_788,mmLM_286,mmHSR_797,mmHSR_805,mmLM_294,mmLM_295,mmLM_297,mmHSR_826,mmHSR_838,mmHSR_839,mmHSR_842,mmLM_311,mmHSR_849,mmLM_313,mmLM_314,mmLM_315,mmHSR_856,mmLM_317,mmHSR_876,mmHSR_882,mmLM_332,mmHSR_884,mmLM_336,mmLM_341,mmHSR_889,mmLM_343,mmHSR_894,mmLM_359,mmHSR_907,mmHSR_912,mmHSR_913,mmLM_362,mmLM_363,mmHSR_917,mmLM_365,mmHSR_920,mmHSR_922,mmHSR_932,mmLM_379,mmHSR_941,mmLM_387,mmLM_393,mmLM_394,mmLM_400,mmLM_401,mmHSR_967,mmHSR_969,mmHSR_974,mmHSR_977,mmLM_422,mmHSR_990,mmHSR_993,mmLM_429,mmLM_430,mmHSR_997,mmHSR_1003,mmHSR_1011,mmHSR_1020,mmHSR_1027,mmHSR_1032,mmHSR_1039,mmHSR_1048,mmHSR_1052,mmHSR_1054,mmHSR_1056,mmHSR_1080,mmHSR_1082,mmLM_462,mmHSR_1094,mmHSR_1100,mmHSR_1112,mmLM_488,mmHSR_1125,mmHSR_1127,mmHSR_1135,mmLM_496,mmHSR_1147,mmHSR_1152,mmHSR_1192,mmHSR_1197,mmLM_540,mmLM_543,mmLM_549,mmLM_555,mmLM_557,mmHSR_1221,mmHSR_1222,mmHSR_1227,mmHSR_1230,mmLM_568,mmHSR_1231,mmLM_570,mmHSR_1232,mmHSR_1233,mmHSR_1234,mmHSR_1243,mmHSR_1244,mmHSR_1245,mmHSR_1261,mmHSR_1265,mmLM_582,mmHSR_1275,mmLM_587,mmHSR_1284,mmLM_590,mmHSR_1286,mmLM_591,mmLM_593,mmLM_594,mmHSR_1303,mmHSR_1305,mmHSR_1316,mmHSR_1318,mmHSR_1334,mmHSR_1338,mmLM_610,mmHSR_1342,mmLM_613,mmLM_614,mmLM_617,mmLM_620,mmHSR_1366,mmHSR_1377,mmHSR_1381,mmHSR_1395,mmHSR_1397,mmHSR_1399,mmHSR_1401,mmLM_634,mmHSR_1422,mmHSR_1423,mmHSR_1424,mmHSR_1425,mmHSR_1429,mmHSR_1430,mmHSR_1436,mmHSR_1439,mmHSR_1441,mmHSR_1449,mmHSR_1450,mmHSR_1453,mmHSR_1459,mmHSR_1463,mmHSR_1467,mmLM_649,mmLM_652,mmLM_655,mmHSR_1483,mmLM_659,mmHSR_1490,mmHSR_1493,mmLM_664,mmHSR_1495,mmHSR_1497,mmLM_672,mmLM_675,mmHSR_1514,mmLM_683,mmLM_687,mmHSR_1527,mmLM_692,mmHSR_1543,mmHSR_1552,mmHSR_1580,mmHSR_1601,mmHSR_1610,mmHSR_1611,mmHSR_1612,mmHSR_1615,mmHSR_1616,mmHSR_1617,mmHSR_1637,mmHSR_1662,mmLM_713,mmHSR_1692,mmHSR_1693,mmHSR_1716,mmLM_733,mmHSR_1719,mmHSR_1721,mmLM_738,mmLM_739,mmLM_740,mmHSR_1731,mmHSR_1736,mmHSR_1738,mmHSR_1741,mmHSR_1743,mmHSR_1747,mmHSR_1772,mmHSR_1776,mmHSR_1777,mmHSR_1779,mmHSR_1781,mmHSR_1787,mmHSR_1788,mmHSR_1790,mmLM_757,mmHSR_1803,mmHSR_1816,mmHSR_1820,mmHSR_1825,mmHSR_1826,mmHSR_1831,mmHSR_1834,mmHSR_1850,mmHSR_1856,mmHSR_1857,mmHSR_1858,mmHSR_1860,mmHSR_1864,mmHSR_1865,mmHSR_1870,mmHSR_1882,mmHSR_1884,mmHSR_1885,mmHSR_1889,mmHSR_1890,mmHSR_1892,mmHSR_1894,mmHSR_1895,mmHSR_1896,mmHSR_1926,mmHSR_1937,mmHSR_1941,mmHSR_1952,mmHSR_1960,mmLM_773,mmHSR_1961,mmHSR_1962,mmHSR_1982,mmHSR_1994,mmLM_777,mmHSR_2007,mmHSR_2012,mmHSR_2021,mmHSR_2023,mmHSR_2026,mmHSR_2029,mmHSR_2033,mmHSR_2035,mmHSR_2038,mmHSR_2039,mmHSR_2066,mmHSR_2068,mmHSR_2069,mmLM_786,mmHSR_2112,mmHSR_2113,mmHSR_2125,mmHSR_2132,mmHSR_2144,mmHSR_2165,mmHSR_2172,mmHSR_2173,mmHSR_2176,mmLM_792,mmHSR_2186,mmHSR_2188,mmHSR_2198,mmHSR_2205,mmHSR_2208,mmHSR_2219,mmHSR_2221,mmHSR_2223,mmHSR_2228,mmHSR_2231,mmHSR_2241,mmHSR_2250,mmHSR_2257,mmHSR_2261,mmHSR_2268,mmHSR_2288,mmHSR_2290,mmLM_809,mmHSR_2294,mmHSR_2307,mmHSR_2308,mmHSR_2315,mmLM_819,mmLM_827,mmLM_828,mmHSR_2327,mmHSR_2332,mmHSR_2334,mmHSR_2335,mmHSR_2337,mmHSR_2338,mmHSR_2339,mmHSR_2342,mmHSR_2344,mmLM_832,mmLM_833,mmHSR_2345,mmHSR_2346,mmLM_843,mmHSR_2365,mmHSR_2390,mmHSR_2391,mmHSR_2393,mmLM_856,mmHSR_2394,mmHSR_2399,mmLM_858,mmLM_861,mmLM_862,mmHSR_2406,mmHSR_2408,mmHSR_2417,mmLM_866,mmHSR_2422,mmLM_869,mmLM_871,mmHSR_2427,mmLM_873,mmLM_875,mmHSR_2428,mmHSR_2429,mmHSR_2469,mmHSR_2490,mmHSR_2517
ENCFF001NAO,0.0,146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,0.0,17,3,38,20,0.0,1,50,149,6,9,0.0,3,4,1,21,9,3,4,4,16,14,3,34,20,21,4,28,28,6,38,6,23,8,13,15,9,13,2,3.0,19,21,8,17,2,12,3,3,24,7,0.0,14,13,19,1.0,46,51,2,13,6,19,37,0.0,11,19,10,44,14,31,15,2,14,12,105,1,6,0.0,15,3,13,16,24,11,6,14,7,5,8,19,14,24,25,270,13,33,26,3,0.0,12,68,46,18,21,18,3,2,4,24,26,354,8,4,10,21,20,12,15,1,2,1,3,10,16,3.0,4,11,30,0.0,18,57,2,11,28,22,7,24,15,5,5,6,24,7,4,5,3,26,12,15,15,2,18,24,0.0,35,7,10,8,3,17,14,36,11,8,23,19,15,14,81,15,26,45,31,10,27,9,31,8,1.0,47,16,21,10,5,1,15,59,4,3,10,20,2,13,0.0,24,24,18,22,16,10,12,6,15,34,22,32,16,23,8,21,1,11,12,23,5,19,23,25,16,7,14,29,7,0.0,16,7,6,13,2,6,12,174,1,2,9,9,1,13,97,0.0,6.0,1.0,15,64,31,9,4,42,4,4,1.0,3,3,9,2,8,6,21,21,20,2,6,21,57,0.0,9,3,14,0.0,24,6,10,28,42,1.0,15,9,31,13,22,23,17,18,3,21,9,27,13,12,28,6,1.0,29,11,5,4,15,27,1,4,34,6,17,12,2,4,16,22,21,18,10,5,28,12,15,14,27,35,1,28,7,9,13,19,18,18,8,15,25,17,21,8,14,19,0.0,2,5,2,18,8,7,12,37,7,35,43,1,11,7,28,3,14,1,7,3,1,8,2,4,17,6,16,32,15,6,626,10,760,9,10,2,2,30,18,0.0,34,10,0.0,18,1,11,20,4.0,11,11,3,8,7,19,29,1,20,1,16,39,10,3412,27,4,21,18,6,13,5,0.0,0.0,8,4,1,0.0,14,8,11,8,12,8,18,3,25,21,0.0,5,1,0.0,8,1,2,241,7,3.0,29,4,30,14,9,47,16,22,11,14,67,1,16,8,2,2,17,12,6,1,46,10,9,39,7,0.0,40,7,10,13,25,21,19,6,15,3,26,3,1.0,62,2,4,0.0,11,14,0.0,6,0.0,0.0,0.0
ENCFF001NFW,0.0,983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922,1.0,3,8,22,13,1.0,10,29,150,3,17,1.0,3,3,13,13,13,9,8,2,11,8,12,23,11,18,4,18,26,2,84,12,17,9,42,12,15,18,6,0.0,8,10,7,11,8,7,1,6,12,6,3.0,9,9,11,0.0,34,31,7,18,6,12,29,6.0,19,4,19,56,10,43,51,5,11,27,161,11,6,0.0,13,1,8,7,8,3,5,9,11,3,3,14,22,15,16,66,5,17,446,4,1.0,20,52,27,19,12,19,6,12,21,22,14,119,11,12,28,12,24,25,12,3,12,8,3,19,8,0.0,13,9,15,7.0,8,21,12,8,11,41,3,14,8,18,6,5,7,9,7,9,4,10,5,9,11,6,9,11,1.0,36,5,5,6,1,44,8,15,8,9,26,12,16,3,32,16,16,17,47,4,8,6,5,6,0.0,52,46,20,1,8,2,2,54,3,9,25,9,1,34,3.0,47,36,8,19,8,24,11,10,7,24,8,20,13,8,12,37,7,13,11,34,14,28,4,102,23,3,6,14,3,1.0,7,6,9,6,16,5,10,53,1,11,26,5,2,11,35,2.0,0.0,2.0,9,73,17,2,3,22,2,1,0.0,1,3,4,7,11,18,6,8,16,13,7,29,59,0.0,22,6,16,8.0,9,3,10,17,13,0.0,4,11,17,9,20,3,6,12,2,94,11,17,11,4,11,5,0.0,17,5,8,7,8,24,2,6,36,2,7,5,8,2,6,8,7,8,2,2,10,10,3,24,23,34,2,52,15,7,12,11,10,11,7,3,10,9,12,12,5,16,0.0,3,10,10,17,1,5,4,15,6,8,11,5,8,10,12,6,21,2,2,9,16,13,2,7,70,6,15,25,14,2,166,3,227,63,14,7,2,22,4,3.0,26,16,0.0,16,1,10,16,0.0,5,2,5,3,13,24,10,1,7,11,9,7,7,808,10,6,13,13,12,4,3,0.0,5.0,1,1,5,0.0,4,1,3,2,5,17,20,5,27,11,0.0,14,1,1.0,6,11,3,64,26,1.0,12,1,7,3,21,8,1,37,10,16,114,1,9,10,3,23,14,29,9,5,33,12,21,37,12,5.0,14,8,28,11,8,10,10,3,14,2,49,3,0.0,42,5,4,0.0,15,12,0.0,22,0.0,0.0,0.0
ENCFF001NFY,0.0,1804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1885,9.0,8,16,65,24,1.0,14,50,322,7,39,4.0,3,8,25,31,16,11,10,10,18,14,22,49,22,20,7,31,51,6,119,11,32,12,70,22,43,40,12,6.0,22,20,19,27,15,22,5,12,26,10,2.0,23,16,29,3.0,75,82,9,34,5,34,84,4.0,57,16,31,123,20,89,81,9,19,57,309,17,20,0.0,30,2,11,26,19,10,7,23,8,4,4,20,28,18,29,161,14,29,805,11,1.0,26,90,61,35,35,36,4,20,22,44,24,283,20,30,46,19,37,53,19,29,21,13,2,51,20,2.0,14,19,16,1.0,18,39,7,15,32,74,4,32,13,22,21,7,9,14,13,19,9,48,13,15,7,15,29,15,0.0,35,5,16,15,6,143,11,25,12,20,47,26,23,12,67,12,25,35,73,17,28,9,23,15,6.0,109,52,36,5,15,2,6,72,11,23,41,18,1,53,3.0,90,73,12,45,21,35,15,21,18,59,17,37,17,22,34,61,13,18,32,63,27,31,14,200,47,8,22,37,7,1.0,15,6,16,17,16,19,19,115,11,9,40,7,7,27,72,7.0,4.0,0.0,25,127,27,10,7,36,8,2,1.0,3,12,16,10,17,32,21,19,36,14,20,43,124,0.0,25,11,25,12.0,32,3,24,37,29,1.0,15,16,36,27,23,25,13,20,7,220,20,20,17,5,36,8,0.0,39,7,10,7,19,53,2,13,52,2,17,7,17,8,15,14,15,33,8,11,39,19,10,41,67,68,1,68,22,17,17,26,7,20,6,12,20,20,35,28,18,21,1.0,6,16,15,29,3,12,12,32,21,38,24,7,20,17,16,4,43,4,7,20,18,20,6,13,154,8,17,47,18,5,359,16,539,103,19,35,5,32,21,9.0,51,34,2.0,34,3,23,33,5.0,13,14,14,26,20,40,14,7,17,10,8,33,11,1789,16,11,10,20,9,13,8,2.0,12.0,3,3,17,1.0,6,9,14,2,8,24,45,12,28,12,0.0,19,2,1.0,17,15,7,155,41,0.0,35,1,23,7,6,24,5,110,21,34,176,3,17,7,7,30,32,62,10,6,57,28,30,75,15,18.0,24,19,66,16,24,21,33,9,25,7,94,5,3.0,65,7,10,1.0,28,18,4.0,49,0.0,0.0,0.0
