Cistrome_id,Species,External_id,External_id_type,Factor,Ontology,FastQC,MappedRatio,PBC,PeaksFoldChangeAbove10,FRiP,PeaksUnionDHSRatio,FastQC_flag,MappedRatio_flag,PBC_flag,FRiP_flag,DHSRatio_flag,sum_four_scores,ENCODE_accession,SRA_ENCODE,ENCODE_status
145677,homo_sapiens,GSM5214804,GEO,HMGA1,Hep-G2,34.0,0.0,0.996,93.0,0.0087784396323531,0.6024096385542169,1,0,1,0,0,2,ENCFF313HCQ,SRR14105271,released
145681,homo_sapiens,GSM5214770,GEO,FOXS1,A549,40.0,0.0,0.982,532.0,0.0201150014682797,0.8048,1,0,1,1,1,4,ENCFF064JPG,SRR14105221,released
145685,homo_sapiens,GSM5214218,GEO,Foxf2,A549,40.0,0.0,0.992,1097.0,0.0312362415247714,0.8338,1,0,1,1,1,4,ENCFF427VGU,SRR14103654,released
145687,homo_sapiens,GSM5214119,GEO,Satb2,Hep-G2,35.0,0.0,0.995,545.0,0.0285130646650725,0.9322,1,0,1,1,1,4,ENCFF609NGB,SRR14103461,released
145696,homo_sapiens,GSM5214213,GEO,SPDEF,MCF-7,40.0,0.0,0.985,1602.0,0.0487667554082496,0.8824,1,0,1,1,1,4,ENCFF867FHB,SRR14103648,released
145699,homo_sapiens,GSM5214179,GEO,ZNF12,K562,36.0,0.0,0.984,596.0,0.050854784623665,0.7866,1,0,1,1,1,4,ENCFF966SKD,SRR14103566,released
145714,homo_sapiens,GSM5214792,GEO,Zbtb1,Hep-G2,35.0,0.0,0.996,142.0,0.0108000445115146,0.8472317156527683,1,0,1,1,1,4,ENCFF349JZN,SRR14105253,released
145716,homo_sapiens,GSM5214163,GEO,FOXM1,Hep-G2,34.0,0.0,0.994,373.0,0.022535006326597,0.9104,1,0,1,1,1,4,ENCFF384ENL,SRR14103546,released
145723,homo_sapiens,GSM5214209,GEO,DMTF1,Hep-G2,36.0,0.0,0.977,194.0,0.0122279271821441,0.9126,1,0,1,1,1,4,ENCFF566ODT,SRR14103644,released
145728,homo_sapiens,GSM5214460,GEO,HOMEZ,K562,40.0,0.0,0.983,365.0,0.016059192311201,0.55560951918407,1,0,1,1,0,3,ENCFF767NQA,SRR14104065,released
145729,homo_sapiens,GSM5214357,GEO,Arntl,Hep-G2,37.0,0.0,0.977,1406.0,0.0705544322921917,0.9378,1,0,1,1,1,4,ENCFF895UEX,SRR14103877,released
145731,homo_sapiens,GSM5214748,GEO,ZFP37,Hep-G2,34.0,0.0,0.992,726.0,0.047652187824962,0.942,1,0,1,1,1,4,ENCFF893QHE,SRR14105160,released
145734,homo_sapiens,GSM5214121,GEO,Satb2,Hep-G2,35.0,0.0,0.994,512.0,0.02273631542379,0.9338,1,0,1,1,1,4,ENCFF168ETF,SRR14103462,released
145738,homo_sapiens,GSM5214654,GEO,Nr5a1,Hep-G2,35.0,0.0,0.994,3966.0,0.0590122058968568,0.8944,1,0,1,1,1,4,ENCFF182PGT,SRR14104400,released
145740,homo_sapiens,GSM5214422,GEO,TEAD4,Hep-G2,34.0,0.0,0.992,4607.0,0.0657174424878496,0.94,1,0,1,1,1,4,ENCFF062BYU,SRR14104004,released
145754,homo_sapiens,GSM5214231,GEO,Gata2,K562,36.0,0.0,0.99,1590.0,0.0321223849100042,0.937,1,0,1,1,1,4,ENCFF690SYN,SRR14103678,released
145772,homo_sapiens,GSM5214728,GEO,FOXA1,Hep-G2,34.0,0.0,0.993,11586.0,0.1088021890832941,0.9616,1,0,1,1,1,4,ENCFF128UUS,SRR14105124,released
145793,homo_sapiens,GSM5214093,GEO,HOXB5,A549,40.0,0.0,0.974,591.0,0.0293835239091009,0.8612,1,0,1,1,1,4,ENCFF616YBL,SRR14103417,released
145795,homo_sapiens,GSM5214267,GEO,GMEB1,Hep-G2,36.0,0.0,0.985,2038.0,0.040501039145079,0.9356,1,0,1,1,1,4,ENCFF583EFH,SRR14103744,released
145808,homo_sapiens,GSM5214613,GEO,TCFL5,K562,40.0,0.0,0.976,578.0,0.0164744691093352,0.6054073803434418,1,0,1,1,0,3,ENCFF066EKP,SRR14104337,released
145819,homo_sapiens,GSM5214071,GEO,FOXP4,Hep-G2,35.0,0.0,0.992,5431.0,0.0992953935232176,0.9604,1,0,1,1,1,4,ENCFF098CHO,SRR14103365,released
145826,homo_sapiens,GSM5214405,GEO,ZNF17,Hep-G2,36.0,0.0,0.986,280.0,0.0192008017587434,0.889,1,0,1,1,1,4,ENCFF891YTB,SRR14103976,released
145831,homo_sapiens,GSM5214276,GEO,ZNF83,Hep-G2,36.0,0.0,0.983,530.0,0.066716910009407,0.926,1,0,1,1,1,4,ENCFF003BPA,SRR14103753,released
145832,homo_sapiens,GSM5214487,GEO,Nr2f6,K562,33.0,0.0,0.997,1395.0,0.0313389814480716,0.9112,1,0,1,1,1,4,ENCFF788QRB,SRR14104104,released
