accession,hsHSR_17,hsHSR_19,hsHSR_28,hsHSR_34,hsHSR_38,hsHSR_58,hsHSR_75,hsHSR_96,hsHSR_115,hsHSR_156,hsHSR_173,hsHSR_175,hsHSR_211,hsHSR_219,hsHSR_224,hsHSR_232,hsHSR_264,hsHSR_305,hsHSR_334,hsHSR_337,hsHSR_344,hsHSR_345,hsHSR_353,hsHSR_366,hsHSR_384,hsHSR_396,hsHSR_409,hsHSR_427,hsHSR_442,hsHSR_483,hsHSR_496,hsHSR_533,mmHSR_8,mmHSR_19,mmHSR_26,mmHSR_49,mmHSR_51,mmHSR_52,mmHSR_60,mmHSR_161,mmLM_56,mmHSR_236,mmHSR_248,mmHSR_281,mmHSR_315,mmHSR_352,mmHSR_413,mmLM_206,mmLM_220,mmHSR_565,mmHSR_595,mmHSR_596,mmHSR_598,mmHSR_651,mmHSR_665,mmHSR_671,mmHSR_680,mmHSR_725,mmHSR_738,mmHSR_749,mmHSR_754,mmLM_295,mmHSR_842,mmHSR_882,mmLM_332,mmLM_343,mmHSR_894,mmLM_363,mmHSR_933,mmHSR_997,mmHSR_1003,mmHSR_1011,mmHSR_1039,mmHSR_1080,mmHSR_1082,mmHSR_1112,mmHSR_1152,mmLM_540,mmLM_543,mmLM_549,mmLM_557,mmHSR_1221,mmHSR_1222,mmLM_570,mmHSR_1232,mmHSR_1243,mmHSR_1244,mmHSR_1275,mmLM_587,mmHSR_1305,mmHSR_1316,mmHSR_1395,mmHSR_1424,mmHSR_1436,mmHSR_1439,mmHSR_1463,mmLM_652,mmLM_655,mmHSR_1693,mmLM_738,mmLM_739,mmLM_740,mmHSR_1731,mmHSR_1741,mmHSR_1743,mmHSR_1779,mmHSR_1788,mmHSR_1790,mmHSR_1803,mmHSR_1820,mmHSR_1860,mmHSR_1865,mmHSR_1885,mmHSR_1960,mmHSR_1961,mmHSR_2069,mmHSR_2112,mmHSR_2172,mmHSR_2173,mmLM_792,mmHSR_2188,mmHSR_2223,mmHSR_2228,mmHSR_2231,mmHSR_2241,mmHSR_2257,mmHSR_2288,mmHSR_2308,mmLM_828,mmHSR_2327,mmHSR_2335,mmHSR_2365,mmHSR_2393,mmHSR_2406,mmHSR_2417,mmHSR_2427,mmHSR_2428,mmHSR_2517
ENCFF001NAO,2,146,107,1,0.0,44,0.0,0.0,301,0.0,1,2.0,0.0,4,14,0.0,6,13,136,167,73,270,1.0,29,1,148,111,148,0.0,0.0,221,0.0,160,1,149,3,1,21,4,6,9,2,24,0.0,19,1,14,68,20,1,11,30,0.0,7,5,5,6,3,15,2,0.0,23,15,1.0,47,1,15,2,3,23,5,19,7,16,7,6,1,0.0,6.0,1,64,31,9,1.0,3,2,8,2,6,24,6,3,6,5,4,6,2,4,0.0,8,7,12,37,43,1,14,3,1,2,17,9,2,0.0,3,7,0.0,8,11,8,8,3,0.0,8,1,2,7,4,16,67,1,2,0.0,10,3,3,0.0,0.0,0.0
ENCFF001NFW,3,983,707,1,1.0,52,0.0,3.0,2197,0.0,2,0.0,2.0,7,32,5.0,9,6,885,1376,451,2118,0.0,27,1,1050,669,1042,0.0,0.0,1690,0.0,922,10,150,3,13,13,8,12,15,8,12,3.0,4,11,22,52,24,3,9,15,7.0,3,18,6,5,4,9,6,1.0,26,16,0.0,52,2,2,1,6,34,14,28,3,7,6,5,2,2.0,0.0,2,73,17,2,0.0,1,7,11,13,7,9,3,2,5,8,7,2,8,2,0.0,1,5,4,15,11,5,21,9,16,2,70,63,7,3.0,5,13,0.0,1,3,2,17,5,1.0,6,11,3,26,1,1,114,1,3,5.0,28,2,3,0.0,0.0,0.0
